Restaurant Name,Competitor,History,Year,Location,Official Rating,Price,Category,Elite Reviews Count,Recommended Reviews Count,(r) Average Rating,(r) 1 Stars Count,(r) 2 Stars Count,(r) 3 Stars Count,(r) 4 Stars Count,(r) 5 Stars Count,Not Recommended Reviews Count,(nr) Not Recommended Average Rating,(nr) 1 Stars Count,(nr) 2 Stars Count,(nr) 3 Stars Count,(nr) 4 Stars Count,(nr) 5 Stars Count
2 Kats Live,8,3,2007,Arlington,3,2,Southern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Kats Live,8,3,2008,Arlington,3,2,Southern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Kats Live,8,3,2009,Arlington,3,2,Southern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Kats Live,8,3,2010,Arlington,3,2,Southern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Kats Live,8,3,2011,Arlington,3,2,Southern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Kats Live,8,3,2012,Arlington,3,2,Southern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Kats Live,8,3,2013,Arlington,3,2,Southern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Kats Live,8,3,2014,Arlington,3,2,Southern,1,2,3.5,0,1,0,0,1,3,2.666666667,1,1,0,0,1
2 Kats Live,8,3,2015,Arlington,3,2,Southern,1,3,4.333333333,0,0,1,0,2,2,3,1,0,0,0,1
2 Kats Live,8,3,2016,Arlington,3,2,Southern,2,3,2,1,1,1,0,0,2,2.5,1,0,0,1,0
2 Kats Live,8,3,2017,Arlington,3,2,Southern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 Feet Seafood Joint,7,1,2007,Arlington,4,2,Seafood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 Feet Seafood Joint,7,1,2008,Arlington,4,2,Seafood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 Feet Seafood Joint,7,1,2009,Arlington,4,2,Seafood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 Feet Seafood Joint,7,1,2010,Arlington,4,2,Seafood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 Feet Seafood Joint,7,1,2011,Arlington,4,2,Seafood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 Feet Seafood Joint,7,1,2012,Arlington,4,2,Seafood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 Feet Seafood Joint,7,1,2013,Arlington,4,2,Seafood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 Feet Seafood Joint,7,1,2014,Arlington,4,2,Seafood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 Feet Seafood Joint,7,1,2015,Arlington,4,2,Seafood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 Feet Seafood Joint,7,1,2016,Arlington,4,2,Seafood,22,100,3.93,1,8,15,49,27,9,3.888888889,1,1,1,1,5
